Item,Element,Unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"Lemons, Limes and products",Protein supply quantity (g/capita/day),g/cap/d,0.01,0.0,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0
Maize Germ Oil,Protein supply quantity (g/capita/day),g/cap/d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maize and products,Protein supply quantity (g/capita/day),g/cap/d,1.04,1.31,1.2,1.2,1.12,1.11,0.87,0.86,0.92,0.86,1.01,1.29,1.0,1.14
"Marine Fish, Other",Protein supply quantity (g/capita/day),g/cap/d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Meat, Other",Protein supply quantity (g/capita/day),g/cap/d,0.06,0.06,0.06,0.06,0.06,0.05,0.06,0.05,0.05,0.06,0.06,0.06,0.06,0.06
Milk - Excluding Butter,Protein supply quantity (g/capita/day),g/cap/d,16.49,16.37,16.59,16.05,17.11,17.2,17.89,18.21,18.48,19.92,18.94,19.46,19.74,20.03
Millet and products,Protein supply quantity (g/capita/day),g/cap/d,0.18,0.2,0.16,0.15,0.16,0.17,0.16,0.17,0.17,0.18,0.12,0.1,0.12,0.13
Miscellaneous,Protein supply quantity (g/capita/day),g/cap/d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0
"Molluscs, Other",Protein supply quantity (g/capita/day),g/cap/d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mutton & Goat Meat,Protein supply quantity (g/capita/day),g/cap/d,1.01,1.01,1.01,1.03,1.03,1.04,1.06,1.5,1.51,1.51,1.52,1.53,1.54,1.54
Nuts and products,Protein supply quantity (g/capita/day),g/cap/d,0.05,0.05,0.05,0.04,0.04,0.06,0.07,0.07,0.04,0.04,0.06,0.05,0.04,0.05
Oats,Protein supply quantity (g/capita/day),g/cap/d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Offals, Edible",Protein supply quantity (g/capita/day),g/cap/d,0.52,0.51,0.51,0.51,0.53,0.53,0.54,0.69,0.7,0.71,0.71,0.72,0.71,0.71
"Oilcrops Oil, Other",Protein supply quantity (g/capita/day),g/cap/d,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0
Olive Oil,Protein supply quantity (g/capita/day),g/cap/d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Olives (including preserved),Protein supply quantity (g/capita/day),g/cap/d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Onions,Protein supply quantity (g/capita/day),g/cap/d,0.26,0.27,0.26,0.25,0.23,0.22,0.23,0.25,0.26,0.26,0.25,0.24,0.3,0.24
"Oranges, Mandarines",Protein supply quantity (g/capita/day),g/cap/d,0.12,0.11,0.11,0.1,0.11,0.11,0.11,0.11,0.1,0.11,0.1,0.11,0.11,0.1
Palm Oil,Protein supply quantity (g/capita/day),g/cap/d,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01
Palmkernel Oil,Protein supply quantity (g/capita/day),g/cap/d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Peas,Protein supply quantity (g/capita/day),g/cap/d,0.42,0.38,0.55,0.45,0.65,1.16,1.16,0.75,0.49,0.58,1.37,1.71,0.78,0.57
Pelagic Fish,Protein supply quantity (g/capita/day),g/cap/d,0.12,0.13,0.11,0.12,0.15,0.17,0.14,0.14,0.11,0.14,0.14,0.14,0.14,0.13
Pepper,Protein supply quantity (g/capita/day),g/cap/d,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.01
Pigmeat,Protein supply quantity (g/capita/day),g/cap/d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
